 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
-1.555483,-8.476372,-5.248539,-0.113699,0.051259,0.145958
-1.398064,-8.481459,-5.178209,-0.079899,-0.08672,0.221404
-1.493533,-8.469339,-4.986374,-0.065946,-0.149796,0.289185
-1.751957,-8.468591,-4.821922,-0.091395,-0.109261,0.360776
-1.971176,-8.486547,-4.821773,-0.133044,-0.021296,0.450722
-2.044349,-8.495825,-4.974852,-0.170128,0.012563,0.548111
-2.123807,-8.429834,-5.13661,-0.191153,-0.038461,0.652726
-2.207753,-8.377312,-5.264401,-0.204135,-0.156281,0.776539
-2.450765,-8.348731,-5.197662,-0.243862,-0.296221,0.946565
-2.841917,-8.091055,-5.037101,-0.35355,-0.384271,1.196294
-3.884143,-7.989451,-5.067328,-0.512587,-0.417116,1.39542
-4.755633,-7.74225,-5.602881,-0.577881,-0.405855,1.529366
-6.577919,-7.822006,-5.730222,-0.678641,-0.497424,1.38555
-8.215404,-7.881562,-6.068254,-0.634499,-0.4767,1.051931
-10.31871,-6.738481,-6.658724,-0.50797,-0.375924,0.404048
-11.748647,-5.647174,-7.521534,-0.223147,-0.374084,-0.553887
-12.711266,-4.827159,-8.203133,0.266639,-0.490653,-1.768407
-11.31784,-5.242105,-8.104522,0.750175,-0.628216,-2.646987
-9.588478,-5.415086,-7.463924,0.984465,-0.877748,-3.108939
-8.553285,-4.611681,-6.680571,1.027642,-1.055442,-3.43268
-7.892785,-4.045153,-6.08621,1.039828,-1.057257,-3.743942
-7.224354,-3.621529,-5.760449,1.018463,-1.073402,-4.094519
-5.976077,-2.920477,-5.610961,0.974019,-1.278616,-4.728973
-5.561431,-2.610877,-5.780052,1.06488,-1.518628,-5.22144
-4.516661,-2.08535,-5.599589,1.125848,-1.567352,-5.473204
-3.060837,-1.280898,-4.955249,1.101449,-1.634515,-5.888036
-1.034295,0.092626,-3.987543,0.820581,-1.390771,-6.502278
0.382025,1.28838,-3.492691,0.490569,-1.252335,-7.05157
2.267309,2.616114,-3.486855,0.023857,-1.545914,-7.556093
4.097676,3.954323,-4.222324,-0.606175,-2.278514,-7.863869
5.36361,5.298368,-5.431995,-0.913943,-2.676046,-8.111693
8.054244,6.075736,-5.995829,-1.129606,-2.470644,-7.853492
11.953351,6.882731,-5.641188,-1.346655,-1.616264,-6.756651
14.537742,6.836194,-6.047155,-1.505144,-1.212338,-5.410046
14.251785,6.229563,-7.434894,-1.562667,-1.535866,-4.656085
13.829507,6.703615,-8.264634,-1.496316,-1.466502,-4.139068
13.900136,7.213131,-8.893112,-1.371078,-1.078994,-3.576908
14.532505,7.469909,-9.456797,-1.088288,-0.641653,-2.899723
14.653262,7.49026,-9.360281,-0.807155,-0.303979,-2.252155
14.440627,7.485471,-9.039907,-0.571323,-0.138986,-1.793407
14.541782,7.525275,-9.266458,-0.275878,0.060583,-1.373365
15.601965,7.572561,-8.751555,0.041105,0.271688,-0.579392
15.904682,6.403891,-8.674941,0.289062,0.014108,0.352053
14.922311,5.544372,-8.000823,0.470287,0.051183,1.137041
13.567043,5.162198,-7.057059,0.48501,0.561239,1.831403
11.980286,5.167884,-6.739079,0.43163,1.029693,2.278117
11.23105,5.077054,-6.918644,0.471691,1.206341,2.60993
10.763134,4.877587,-6.763171,0.577229,1.248405,2.935212
10.321254,4.425682,-6.207117,0.588336,1.258023,3.190841
9.932346,3.909881,-5.741296,0.528482,1.326975,3.425108
9.390807,3.519776,-5.400421,0.422888,1.416385,3.60782
8.892065,3.025223,-5.179706,0.291072,1.452692,3.70902
8.616582,2.399888,-4.935946,0.11847,1.404475,3.775607
8.359355,1.677886,-4.9138,-0.044927,1.337298,3.809499
8.271667,1.025915,-4.870255,-0.162345,1.343472,3.900639
7.928548,0.375441,-4.796633,-0.271139,1.365316,4.072607
7.069479,-0.32217,-4.821922,-0.340686,1.412944,4.211095
6.219088,-1.159093,-4.766706,-0.369279,1.460029,4.301279
5.188684,-1.794305,-4.619911,-0.391142,1.458945,4.345845
3.856909,-2.483086,-4.51307,-0.44699,1.305642,4.219733
2.44014,-3.367594,-4.658668,-0.47118,0.99554,3.884405
1.468543,-4.384531,-4.681412,-0.415549,0.749398,3.465505
0.861913,-5.32246,-4.492869,-0.384057,0.608824,3.111172
0.226102,-5.987898,-4.247912,-0.391213,0.501787,2.737963
-0.046986,-6.596175,-3.972429,-0.430584,0.42564,2.33986
0.196025,-7.244854,-3.810821,-0.519503,0.361987,2.001656
0.688632,-7.493702,-3.658041,-0.626893,0.313708,1.842481
0.987758,-8.069507,-3.780295,-0.766722,0.108906,1.836415
0.486472,-8.466346,-4.065205,-0.890494,-0.024087,1.784486
-0.179715,-8.26254,-4.290709,-0.904429,0.144942,1.610356
-0.325462,-8.163629,-4.570681,-0.883173,0.277076,1.439216
-0.026935,-8.903437,-5.108628,-0.841232,0.07898,1.397184
-0.403423,-9.505878,-5.786187,-0.702848,-0.247235,1.352428
-1.179294,-9.355343,-6.075137,-0.374578,-0.372819,1.177406
-1.541716,-8.946533,-5.848885,-0.056977,-0.333733,0.910365
-1.144129,-8.792406,-5.465813,0.14036,-0.359313,0.67718
-0.387711,-9.023596,-5.194221,0.200417,-0.499194,0.51325
0.325013,-9.205406,-5.032762,0.236878,-0.60645,0.486848
0.447267,-9.633968,-4.957494,0.284491,-0.692582,0.649261
-1.218649,-9.37315,-4.621707,0.352972,-0.533284,0.566719
-1.912668,-9.939528,-4.349816,0.360645,-0.289856,0.352294
-1.97387,-9.484031,-4.065205,0.353258,-0.188915,0.089935
-1.200991,-9.419687,-3.977667,0.313262,-0.30514,-0.071745
-0.224007,-9.382128,-3.749619,0.223108,-0.312391,-0.111323
