 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
-0.899322,-6.41272,-7.56059,0.022452,-0.352879,0.146756
-1.371878,-6.442647,-7.182306,0.038498,-0.36939,0.208495
-1.845032,-6.398504,-6.969521,-0.034691,-0.305258,0.207103
-2.036269,-6.389376,-6.908918,-0.131749,-0.22173,0.292845
-2.294992,-6.326229,-6.939145,-0.248846,-0.270554,0.411824
-2.648735,-6.208165,-7.136517,-0.359973,-0.430496,0.539197
-3.110966,-6.046257,-7.25054,-0.437928,-0.590558,0.666555
-3.81546,-5.774814,-7.237971,-0.526593,-0.731012,0.700652
-4.3977,-5.600038,-7.168389,-0.586298,-0.818851,0.65326
-5.204545,-5.383063,-7.340173,-0.633925,-0.853206,0.4407
-5.971887,-5.344008,-7.862109,-0.630353,-0.876017,0.066496
-6.808511,-5.285799,-8.448988,-0.496151,-0.812619,-0.482509
-7.047781,-5.165041,-8.921394,-0.332818,-0.704232,-1.0393
-7.35379,-5.337573,-8.94384,-0.145612,-0.395339,-1.71038
-7.027431,-4.891653,-8.556428,-0.051068,-0.052109,-2.315227
-6.621015,-4.629039,-8.582315,0.087237,0.219437,-2.873349
-5.912631,-4.223821,-9.033024,0.377604,0.262526,-3.381032
-5.370045,-3.924396,-9.225158,0.748844,0.114626,-3.938981
-4.754735,-3.686622,-8.578873,1.007626,0.02395,-4.457059
-4.388572,-3.422511,-8.557475,1.284624,-0.070889,-5.063087
-4.075829,-3.14224,-8.704868,1.58765,-0.179935,-5.815592
-3.53863,-2.280926,-8.28319,1.800927,-0.142089,-6.767429
-1.611447,-1.245284,-7.313239,1.731709,0.31336,-7.295796
0.013467,0.879719,-5.807136,1.348994,1.619272,-7.62972
1.306785,3.606266,-4.494515,1.034254,3.29351,-8.072132
3.231574,4.663905,-4.966023,1.313955,4.234262,-8.237463
6.276699,5.430199,-3.499425,1.683846,4.208205,-8.061198
10.664971,4.972009,-1.736844,1.704764,3.235845,-7.259673
15.315409,4.18701,-0.643741,1.527746,2.217654,-5.759284
18.010831,3.414281,-0.28895,1.354843,1.767663,-4.073894
18.386421,4.767604,0.505775,0.979305,1.652883,-2.920555
19.418921,5.106683,0.52433,0.624325,1.525965,-1.855377
19.861399,5.316026,-0.160711,0.4222,0.817125,-0.598934
18.698565,5.624129,-1.379958,0.502668,-0.130704,0.587029
16.511761,3.919757,-1.937208,0.630634,-0.673854,1.559864
13.51452,3.438223,-0.768838,0.434679,-0.721088,2.03114
11.474511,2.249352,-0.75971,0.216168,-0.776846,2.220065
9.914688,1.085471,-1.444452,0.090031,-0.861516,2.292707
8.495376,-0.163554,-1.429039,-0.102547,-0.763497,2.260502
8.136994,-0.521637,-1.01155,-0.421946,-0.490075,2.166504
8.106767,-0.580444,-0.950199,-0.626201,-0.340918,2.108475
9.032126,-1.72996,-1.214459,-1.204254,-0.105733,2.055163
9.246856,-2.288558,-2.048838,-1.425809,-0.298584,2.13869
8.952519,-2.515258,-3.289932,-1.393128,-0.484557,2.190045
8.691102,-2.575862,-3.957017,-1.286391,-0.587141,2.279216
8.589198,-2.731186,-3.722984,-1.319333,-0.477132,2.464295
8.614038,-3.355623,-3.43538,-1.542336,-0.422647,2.7367
7.917326,-3.48072,-3.68722,-1.716341,-0.349425,2.943819
7.360225,-3.688567,-3.944298,-1.908836,-0.291625,3.109319
6.600664,-3.60462,-3.986346,-2.174326,-0.184419,3.178222
5.936423,-3.537583,-4.337844,-2.487021,-0.006422,3.205505
5.670218,-3.442413,-5.014955,-2.699263,0.343895,3.284183
5.139752,-3.35278,-6.042815,-2.716288,0.498522,3.272666
4.329764,-3.829974,-8.61763,-2.150272,0.056578,3.131427
3.39842,-3.983503,-10.171466,-1.089497,-0.717176,2.919846
2.895338,-4.263924,-9.949105,-0.133284,-1.288758,2.726162
2.719215,-5.086332,-8.212112,0.314472,-1.362184,2.616992
2.011878,-5.751172,-6.582109,0.250126,-0.906114,2.488294
1.404648,-6.209512,-5.881955,-0.03102,-0.381793,2.261645
0.994791,-6.641665,-6.396559,-0.191812,-0.199737,2.018432
0.860117,-6.71798,-6.983437,-0.153272,-0.300537,1.879336
0.52029,-6.724864,-7.354239,0.025149,-0.574878,1.850904
0.015263,-6.78412,-7.167791,0.199554,-0.808803,1.799962
-0.587627,-6.973412,-6.62296,0.254461,-0.872484,1.647039
-1.02382,-7.208941,-6.075736,0.166652,-0.72472,1.44492
-1.225682,-7.409156,-5.814019,0.011123,-0.500149,1.307277
-1.524807,-7.476942,-6.125116,-0.072188,-0.389015,1.133114
-1.824831,-7.463026,-6.460903,-0.066238,-0.268,0.942263
-2.138022,-7.649624,-6.774543,-0.0493,-0.09191,0.704323
-2.284368,-7.768885,-6.937349,-0.049176,0.083265,0.479231
-2.385822,-8.006809,-6.59019,-0.032296,0.055436,0.276575
-1.543362,-7.907898,-6.616077,-0.059672,-0.018312,0.189337
-1.175403,-7.685537,-6.605153,-0.056858,-0.07776,0.137187
-0.640599,-7.466019,-6.701969,-0.02677,-0.092948,0.132062
-0.570119,-7.353641,-6.818836,0.013321,-0.050278,0.104096
-0.596156,-7.397185,-6.727108,0.027689,0.027924,0.059807
-0.517297,-7.511808,-6.63134,-0.003994,0.083863,0.021949
-0.550217,-7.500136,-6.765116,-0.023541,0.145379,-0.03405
-0.412401,-7.476044,-6.835446,-0.01673,0.154099,-0.084254
-0.112079,-7.374291,-6.805668,0.014351,0.088965,-0.091981
0.219967,-7.294235,-6.626851,0.04053,-0.005394,-0.054473
0.308403,-7.223905,-6.816591,0.129463,-0.262038,-0.031171
0.360327,-7.331494,-6.064513,0.039325,-0.071321,0.041584
-0.075417,-7.376835,-6.297349,-0.073231,0.138378,0.017105
