SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835296.946000, -4.238036, -7.190536, -4.570082, 0.238957, 0.107015, 0.142556, , , 
1647835296.966070, -4.306271, -7.291541, -4.413860, 0.225399, 0.028829, 0.151000, , , 
1647835296.986085, -4.334104, -7.379378, -4.202722, 0.182888, -0.000244, 0.176421, , , 
1647835297.005995, -4.439000, -7.490410, -4.264672, 0.151768, -0.030756, 0.183783, , , 
1647835297.026005, -4.402488, -7.487866, -4.142268, 0.114868, -0.045134, 0.215247, , , 
1647835297.045994, -4.473117, -7.542035, -4.014328, 0.055450, -0.027515, 0.212062, , , 
1647835297.065976, -4.679766, -7.523031, -4.016872, 0.014965, -0.008344, 0.177813, , , 
1647835297.085998, -4.744560, -7.512257, -4.130896, -0.004772, -0.029315, 0.145353, , , 
1647835297.106091, -4.774038, -7.561787, -4.286070, -0.015432, -0.022175, 0.129623, , , 
1647835297.126196, -4.762666, -7.592163, -4.401291, -0.015412, 0.026040, 0.102116, , , 
1647835297.146106, -4.619313, -7.646781, -4.324527, -0.024475, 0.128615, 0.079922, , , 
1647835297.166104, -4.442142, -7.580342, -4.216488, -0.053543, 0.181586, 0.066363, , , 
1647835297.186005, -4.368371, -7.638700, -4.321384, -0.073263, 0.153141, 0.062623, , , 
1647835297.206100, -4.246566, -7.715913, -4.361038, -0.063187, 0.200885, 0.086699, , , 
1647835297.226112, -4.079570, -7.761553, -4.418649, -0.062993, 0.275570, 0.135696, , , 
1647835297.246068, -4.245368, -7.763049, -4.629638, -0.061830, 0.330288, 0.177259, , , 
1647835297.265989, -4.288763, -7.902212, -4.866065, -0.031849, 0.362511, 0.173191, , , 
1647835297.286071, -4.400992, -7.909544, -4.988918, 0.027181, 0.284095, 0.171007, , , 
1647835297.306106, -4.579509, -7.881712, -4.927117, 0.077641, 0.254434, 0.186825, , , 
1647835297.326104, -4.859631, -7.859416, -4.857386, 0.095816, 0.300045, 0.173610, , , 
1647835297.346103, -4.988918, -7.863755, -4.791246, 0.094933, 0.373908, 0.154265, , , 
1647835297.366087, -4.998345, -7.897873, -5.004630, 0.114584, 0.319961, 0.158604, , , 
1647835297.386001, -5.683984, -7.486818, -5.197513, 0.180590, 0.136428, 0.089097, , , 
1647835297.406001, -5.640589, -7.882759, -4.905869, 0.178838, 0.071223, 0.022440, , , 
1647835297.426003, -5.838560, -7.762451, -4.743213, 0.130330, 0.257814, -0.046369, , , 
1647835297.446005, -5.909189, -7.772476, -4.958092, 0.105027, 0.410598, -0.098064, , , 
1647835297.465991, -5.695955, -8.081628, -5.098602, 0.169834, 0.410456, -0.102898, , , 
1647835297.485042, -6.387580, -7.835623, -5.482871, 0.283153, 0.161656, -0.126951, , , 
1647835297.506013, -6.820781, -8.019827, -4.870854, 0.288302, 0.074903, -0.312855, , , 
1647835297.526008, -6.779930, -8.107665, -4.686799, 0.237145, 0.181432, -0.468144, , , 
1647835297.546004, -6.399252, -8.151658, -4.908113, 0.195513, 0.131708, -0.562351, , , 
1647835297.566034, -6.395212, -8.240543, -5.215619, 0.221325, -0.039429, -0.659073, , , 
1647835297.585119, -6.652888, -8.286631, -5.340865, 0.263736, -0.149834, -0.812541, , , 
1647835297.606000, -7.081600, -8.229470, -5.434688, 0.277622, -0.066385, -1.016944, , , 
1647835297.626005, -7.026234, -8.230218, -5.626972, 0.296419, -0.006814, -1.162098, , , 
1647835297.646001, -7.121403, -8.107066, -6.043264, 0.379688, -0.160017, -1.290780, , , 
1647835297.665990, -7.380276, -8.007108, -6.541857, 0.545908, -0.436593, -1.413497, , , 
1647835297.685147, -7.945009, -7.987805, -6.729802, 0.707364, -0.619341, -1.541198, , , 
1647835297.705607, -8.792855, -8.016835, -6.953360, 0.864709, -0.687296, -1.745485, , , 
1647835297.726005, -9.215282, -8.041226, -7.069778, 1.081457, -0.545884, -1.965025, , , 
1647835297.746001, -9.355493, -6.634782, -6.695684, 1.156761, -0.561573, -2.377733, , , 
1647835297.766006, -10.287436, -4.654627, -6.921936, 1.196576, -0.760435, -3.053019, , , 
1647835297.785205, -8.248474, -4.475062, -6.219537, 1.252368, -0.672160, -3.709113, , , 
1647835297.806001, -6.230760, -3.172467, -5.712565, 1.279732, -0.567474, -4.169150, , , 
1647835297.826004, -4.197634, -2.306364, -6.140080, 1.379623, -0.976779, -4.410465, , , 
1647835297.846004, -2.468871, -1.633444, -6.533327, 1.631144, -1.650372, -4.503665, , , 
1647835297.865989, -1.086369, -1.463905, -5.506813, 1.833036, -1.815428, -4.514443, , , 
1647835297.885222, -0.084994, -1.484405, -3.961207, 1.860422, -1.769748, -4.669768, , , 
1647835297.905994, 1.059135, -1.310825, -3.081637, 1.801141, -2.079111, -4.982741, , , 
1647835297.926053, 3.710713, -0.793229, -2.757222, 1.798204, -2.688611, -5.319129, , , 
1647835297.945982, 8.100781, -0.518494, -1.811962, 1.538844, -3.300736, -5.132360, , , 
1647835297.965986, 12.052112, -0.200365, -0.478391, 1.037916, -2.535635, -4.503645, , , 
1647835297.985390, 15.084069, -0.520290, 0.141707, 0.715323, -2.065693, -4.006622, , , 
1647835298.005996, 15.956756, -1.417816, -1.727716, 0.495629, -1.387714, -2.684238, , , 
1647835298.026031, 16.661399, -2.758569, -3.140145, 0.745608, -1.478156, -2.027128, , , 
1647835298.045328, 17.629405, -5.796063, -2.543540, 0.782148, -1.679262, -1.648251, , , 
1647835298.065987, 13.471125, -4.000861, -4.569783, 0.713585, -2.228441, -1.942045, , , 
1647835298.085360, 11.358392, -1.476474, -5.586271, 0.751764, -1.730981, -1.962558, , , 
1647835298.106014, 11.726650, -1.175254, -5.037101, 0.731804, -1.030549, -1.609169, , , 
1647835298.126023, 11.554716, -1.034445, -4.130447, 0.722240, -0.548995, -1.003848, , , 
1647835298.145979, 10.930129, -0.788590, -3.333178, 0.732756, -0.333702, -0.401957, , , 
1647835298.166005, 10.800693, -2.029236, -1.849521, 0.660768, -0.130349, 0.048083, , , 
1647835298.185505, 11.090990, -4.157681, -0.482282, 0.482321, -0.187436, 0.306816, , , 
1647835298.206019, 10.351630, -5.918167, 0.012420, 0.141019, -0.731099, 0.162012, , , 
1647835298.226026, 8.191911, -4.820276, -0.657208, -0.225665, -1.141675, -0.238944, , , 
1647835298.246050, 8.772355, -4.519355, -1.457620, -0.576178, -1.200272, -0.313830, , , 
1647835298.265995, 9.377789, -4.084957, -2.451962, -0.785786, -1.170155, -0.168617, , , 
1647835298.285510, 9.482086, -3.834913, -3.286191, -0.796154, -0.822454, 0.165898, , , 
1647835298.306012, 9.531915, -4.748899, -3.484611, -0.816011, -0.480054, 0.510760, , , 
1647835298.326022, 8.388534, -4.472668, -4.092738, -0.831410, -0.393831, 0.555030, , , 
1647835298.345986, 7.629423, -4.359093, -4.310461, -0.821188, -0.154890, 0.516386, , , 
1647835298.366004, 7.559243, -4.623353, -4.390517, -0.789586, 0.158194, 0.500055, , , 
1647835298.385541, 7.713818, -4.786608, -4.948516, -0.641378, 0.127872, 0.533681, , , 
1647835298.406019, 7.807492, -5.031864, -5.360767, -0.409237, -0.023256, 0.595238, , , 
1647835298.426024, 7.517793, -5.175366, -5.473594, -0.158006, -0.016053, 0.614407, , , 
1647835298.446046, 7.147141, -5.275923, -5.339519, 0.035503, 0.191124, 0.599754, , , 
1647835298.466005, 6.906823, -5.285799, -5.119551, 0.151239, 0.439474, 0.573102, , , 
1647835298.485591, 6.832303, -5.376629, -4.773739, 0.239756, 0.668386, 0.539880, , , 
1647835298.506015, 6.801328, -5.519084, -4.552275, 0.322757, 0.648946, 0.500519, , , 
1647835298.525189, 6.903531, -5.742493, -4.297592, 0.362953, 0.483632, 0.473592, , , 
1647835298.546093, 6.901586, -5.774066, -4.076428, 0.391373, 0.370241, 0.441507, , , 
1647835298.566013, 6.926126, -5.837812, -3.882048, 0.411458, 0.395362, 0.449918, , , 
1647835298.585653, 6.883330, -5.907244, -3.485209, 0.388919, 0.492881, 0.458607, , , 
1647835298.606019, 6.781576, -6.055385, -3.324499, 0.377023, 0.439070, 0.420539, , , 
1647835298.626084, 6.836792, -6.116138, -3.218555, 0.362239, 0.352883, 0.391467, , , 
1647835298.646053, 6.849063, -6.176741, -2.925116, 0.326005, 0.263044, 0.387248, , , 
1647835298.665992, 6.759131, -6.251859, -2.766799, 0.273534, 0.247963, 0.377093, , , 
1647835298.685670, 6.737134, -6.268918, -2.780416, 0.242898, 0.177651, 0.357509, , , 
1647835298.706010, 6.704812, -6.360795, -2.665794, 0.223282, 0.104725, 0.346670, , , 
1647835298.726028, 6.591387, -6.424691, -2.518551, 0.180343, 0.115602, 0.331001, , , 
1647835298.746014, 6.525995, -6.484994, -2.495057, 0.094953, 0.114552, 0.283564, , , 
1647835298.765997, 6.594230, -6.501754, -2.570026, 0.015327, 0.115308, 0.243631, , , 
1647835298.785751, 6.766912, -6.703914, -2.692429, -0.008673, 0.118402, 0.259133, , , 
1647835298.806012, 6.606051, -6.556821, -2.768745, -0.015544, 0.079395, 0.263944, , , 
1647835298.826038, 6.591686, -6.681618, -2.816329, -0.014247, 0.041021, 0.261219, , , 
