SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835421.874625, -4.183119, -8.408436, -3.360711, 0.201520, 0.129096, 0.086149, , , 
1647835421.894709, -4.245219, -8.259547, -2.752434, 0.153182, -0.095589, 0.082469, , , 
1647835421.914736, -4.199579, -8.374319, -2.434155, 0.080926, -0.115376, 0.077998, , , 
1647835421.934400, -4.192097, -8.429385, -2.655020, 0.039597, -0.098808, 0.096200, , , 
1647835421.954655, -4.244022, -8.480262, -2.488324, -0.016814, 0.096109, 0.131563, , , 
1647835421.974642, -4.137779, -8.634090, -2.399289, -0.063178, 0.285059, 0.186270, , , 
1647835421.994653, -4.327669, -8.296507, -2.829049, -0.115196, 0.250291, 0.191109, , , 
1647835422.014716, -4.364480, -8.403199, -2.905962, -0.136763, 0.360658, 0.171833, , , 
1647835422.034741, -4.248511, -8.461857, -2.877830, -0.149906, 0.397264, 0.139704, , , 
1647835422.054832, -4.300734, -8.322993, -3.142839, -0.190055, 0.292438, 0.133787, , , 
1647835422.074775, -4.475511, -8.567950, -3.294870, -0.153399, 0.210326, 0.117613, , , 
1647835422.094779, -4.925771, -8.721628, -3.413683, -0.081934, 0.028751, -0.014072, , , 
1647835422.114748, -4.931158, -8.895656, -3.038092, -0.108994, -0.090431, -0.067082, , , 
1647835422.134716, -5.397428, -8.650101, -3.355623, -0.081327, -0.211310, -0.133060, , , 
1647835422.154846, -5.541829, -8.744822, -3.742736, -0.012873, -0.145379, -0.181166, , , 
1647835422.174745, -5.865794, -9.028983, -3.760393, 0.099079, 0.066470, -0.271030, , , 
1647835422.194798, -6.070049, -8.865878, -3.520973, 0.128173, 0.078059, -0.397088, , , 
1647835422.214879, -6.108656, -9.070134, -3.335871, 0.119310, 0.071748, -0.483885, , , 
1647835422.234730, -6.423793, -9.162610, -3.621978, 0.134727, -0.007543, -0.612630, , , 
1647835422.254843, -6.600215, -9.134927, -3.861698, 0.211964, -0.017146, -0.709636, , , 
1647835422.274856, -6.513126, -9.172635, -3.835212, 0.255483, -0.087001, -0.720367, , , 
1647835422.294731, -7.473650, -8.936507, -4.075380, 0.276540, -0.274155, -0.832520, , , 
1647835422.314878, -8.016086, -8.997410, -4.112041, 0.293152, -0.375762, -1.046525, , , 
1647835422.334719, -8.160936, -8.876203, -4.469077, 0.332966, -0.344979, -1.222287, , , 
1647835422.353840, -8.174104, -8.485500, -4.695179, 0.414917, -0.166483, -1.398842, , , 
1647835422.374747, -8.019977, -8.519916, -4.333655, 0.430645, -0.147621, -1.628011, , , 
1647835422.394767, -8.735394, -7.746589, -4.883573, 0.493170, -0.377940, -1.930965, , , 
1647835422.414836, -8.214506, -8.136096, -5.028871, 0.606563, -0.808589, -2.292011, , , 
1647835422.434748, -8.126220, -7.617751, -5.413440, 0.800702, -0.891769, -2.630402, , , 
1647835422.454695, -7.777714, -6.835446, -4.875492, 0.852870, -0.698774, -3.057792, , , 
1647835422.474775, -7.364115, -5.880010, -4.488530, 0.840457, -0.524683, -3.733844, , , 
1647835422.494676, -6.185869, -4.939388, -5.157260, 1.013933, -0.572455, -4.168455, , , 
1647835422.514760, -5.510105, -4.580856, -5.144690, 1.228788, -0.692714, -4.530070, , , 
1647835422.534750, -2.576610, -3.277064, -4.563947, 1.369279, -1.096993, -4.669098, , , 
1647835422.554680, -0.633416, -2.699911, -4.192995, 1.493828, -1.599855, -4.657605, , , 
1647835422.574759, 0.650026, -2.244564, -3.734955, 1.521452, -1.941741, -4.611917, , , 
1647835422.594742, 1.447145, -1.759589, -3.172317, 1.467471, -1.946552, -4.718036, , , 
1647835422.614765, 3.443161, -1.222539, -2.790292, 1.390712, -1.884175, -4.776615, , , 
1647835422.634753, 5.505018, -0.583587, -2.412457, 1.275527, -1.819214, -4.586762, , , 
1647835422.654648, 7.746888, -0.318130, -2.767996, 1.285398, -1.973217, -4.292878, , , 
1647835422.674760, 9.339481, -0.032322, -2.648735, 1.291006, -2.089746, -4.029095, , , 
1647835422.694741, 10.552444, 0.215777, -2.204162, 1.186014, -1.962142, -3.677394, , , 
1647835422.714758, 11.554118, 0.080056, -1.833809, 1.097983, -1.710506, -3.349802, , , 
1647835422.734755, 12.101343, 0.527173, -1.764227, 1.013381, -1.743230, -3.156617, , , 
1647835422.754812, 13.236494, 0.928950, -1.840842, 0.879201, -1.944119, -2.841739, , , 
1647835422.774742, 13.633781, 1.073500, -1.968632, 0.769398, -1.758739, -2.474852, , , 
1647835422.794742, 13.477709, 1.002273, -2.040159, 0.646204, -1.644766, -2.282040, , , 
1647835422.814756, 13.588890, 1.036240, -2.019060, 0.444527, -1.581451, -2.052584, , , 
1647835422.834761, 12.911780, 0.960673, -2.702305, 0.346207, -1.547379, -1.904906, , , 
1647835422.854837, 12.434436, 0.808791, -2.934992, 0.246289, -1.395459, -1.829864, , , 
1647835422.874745, 11.981184, 0.427814, -2.731186, 0.064351, -0.886871, -1.812848, , , 
1647835422.894744, 12.355727, -0.177919, -2.806603, 0.022581, -0.330433, -1.775964, , , 
1647835422.914775, 13.312509, -0.395343, -2.818424, 0.046000, -0.319432, -1.482294, , , 
1647835422.934764, 13.164368, -0.468665, -2.998738, 0.069272, -0.635290, -1.012465, , , 
1647835422.954703, 13.176489, -0.900519, -2.388665, -0.121226, -0.717893, -0.413532, , , 
1647835422.974740, 12.156709, -1.340753, -2.987664, -0.153364, -0.641184, -0.120731, , , 
1647835422.994740, 11.694777, -1.501464, -3.392584, -0.109481, -0.662588, 0.116249, , , 
1647835423.014865, 11.571925, -2.174085, -3.650409, -0.124068, -0.701754, 0.446265, , , 
1647835423.034748, 10.708067, -2.336292, -3.979014, -0.221749, -0.866764, 0.568012, , , 
1647835423.054696, 10.000431, -2.395249, -4.197335, -0.333873, -0.860398, 0.534254, , , 
1647835423.074759, 9.543737, -2.628684, -4.476559, -0.487146, -0.676089, 0.455550, , , 
1647835423.094741, 9.006987, -2.360384, -5.024980, -0.505350, -0.465676, 0.262813, , , 
1647835423.114757, 9.061904, -2.310255, -5.500529, -0.391371, -0.320089, 0.121402, , , 
1647835423.134745, 9.116821, -2.063802, -5.662885, -0.219877, -0.171603, 0.095175, , , 
1647835423.154849, 9.211392, -1.881843, -5.714211, -0.027271, -0.145703, 0.172310, , , 
1647835423.174743, 9.215133, -1.871218, -5.573103, 0.160416, -0.138131, 0.381924, , , 
1647835423.194742, 8.780286, -1.919102, -5.550059, 0.344084, -0.144646, 0.536249, , , 
1647835423.214870, 8.210915, -1.903091, -5.181352, 0.449684, 0.019887, 0.568666, , , 
1647835423.234739, 7.980323, -2.101361, -4.740819, 0.508154, 0.302945, 0.525246, , , 
1647835423.254882, 8.063821, -2.419640, -4.527286, 0.572435, 0.274313, 0.477389, , , 
1647835423.274739, 8.147917, -2.689586, -4.338144, 0.584748, -0.002582, 0.435055, , , 
1647835423.294763, 8.116344, -2.785504, -3.957765, 0.551596, -0.098708, 0.392945, , , 
1647835423.314870, 8.160337, -2.871845, -3.690213, 0.459835, -0.094307, 0.351157, , , 
1647835423.334785, 8.182184, -2.939331, -3.494038, 0.288847, -0.029958, 0.306482, , , 
1647835423.354795, 8.229170, -2.955193, -3.347543, 0.082773, 0.157142, 0.308755, , , 
1647835423.374717, 7.972841, -2.938733, -3.396923, -0.049289, 0.356951, 0.252780, , , 
1647835423.394631, 8.083423, -3.036147, -3.576937, -0.135872, 0.334546, 0.179025, , , 
1647835423.414872, 8.457667, -3.124284, -3.701585, -0.162565, 0.178382, 0.175419, , , 
1647835423.434768, 8.720281, -3.182343, -3.882946, -0.141299, -0.001974, 0.239200, , , 
1647835423.454858, 8.568848, -3.150021, -3.952827, -0.085540, -0.058462, 0.226609, , , 
1647835423.474789, 8.613440, -3.157353, -4.006397, -0.045740, -0.097000, 0.208052, , , 
1647835423.494765, 8.686762, -3.225289, -3.887884, -0.056568, -0.088473, 0.226429, , , 
1647835423.514873, 8.628852, -3.282750, -3.946243, -0.104819, -0.054830, 0.265364, , , 
1647835423.534768, 8.392275, -3.288286, -4.104260, -0.105736, 0.005573, 0.287600, , , 
1647835423.554845, 8.127866, -3.387496, -4.174291, -0.099610, 0.055548, 0.265429, , , 
1647835423.574770, 8.068609, -3.399467, -4.209455, -0.077374, 0.074862, 0.247203, , , 
1647835423.594733, 8.090756, -3.479374, -4.160973, -0.055873, 0.070344, 0.242415, , , 
1647835423.614775, 8.051102, -3.557185, -4.163217, -0.052189, -0.016613, 0.234479, , , 
1647835423.634758, 7.935881, -3.602525, -4.168604, -0.029208, -0.080916, 0.189969, , , 
1647835423.654853, 7.972243, -3.648763, -4.135086, -0.015852, -0.090599, 0.165627, , , 
1647835423.674772, 7.945757, -3.669114, -4.075979, -0.004447, -0.070862, 0.141585, , , 
1647835423.694763, 7.956231, -3.744082, -3.994875, -0.006122, -0.119335, 0.128919, , , 
1647835423.714860, 8.025065, -3.731962, -4.160075, 0.010336, -0.256067, 0.120066, , , 
1647835423.733742, 8.118738, -3.671209, -4.264522, 0.027378, -0.329852, 0.125680, , , 
1647835423.753911, 8.024017, -3.610007, -4.270508, -0.032626, -0.241049, 0.097937, , , 
1647835423.774660, 7.999327, -3.501221, -4.342483, -0.092863, 0.004489, 0.050320, , , 
