 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
-1.068412,-8.601618,-4.812196,-0.137843,0.215616,0.242542
-0.863858,-8.640973,-4.556615,-0.214759,0.415898,0.28685
-1.10268,-8.517821,-4.881478,-0.229269,0.512586,0.342048
-1.080383,-8.658481,-4.999841,-0.231382,0.575636,0.431476
-1.279102,-8.4442,-5.123292,-0.225642,0.673739,0.536497
-1.624615,-8.415918,-5.204545,-0.224663,0.766082,0.596978
-1.777844,-8.388086,-5.530157,-0.170922,0.763352,0.626103
-1.808221,-8.256704,-5.631761,-0.128407,0.739758,0.664224
-1.883489,-8.227225,-5.62398,-0.116123,0.763578,0.742751
-2.281674,-8.061277,-5.826739,-0.077074,0.729486,0.782325
-2.809745,-7.893683,-5.485864,-0.088242,0.662193,0.759727
-3.217807,-8.058434,-5.73965,-0.113831,0.580185,0.702571
-3.619285,-7.949647,-5.996278,-0.094395,0.43972,0.501007
-4.181324,-8.002918,-6.161628,-0.055744,0.309191,0.238127
-3.065626,-9.355642,-6.142324,0.052899,0.432011,0.290241
-4.225317,-7.732374,-6.864326,0.233251,0.183222,0.024648
-5.35134,-6.538415,-7.193529,0.472903,-0.186075,-0.580557
-5.385906,-6.764218,-6.39177,0.522821,-0.216674,-1.188147
-4.493617,-7.559542,-6.306776,0.546761,-0.360806,-1.611946
-3.891924,-7.223456,-6.224924,0.572572,-0.566959,-1.97697
-4.725855,-7.141604,-6.935404,0.489891,-1.027998,-2.662269
-5.932383,-6.928071,-8.191761,0.812163,-1.293928,-3.720279
-5.424064,-6.087407,-8.707263,1.154463,-1.851874,-5.034654
-3.594595,-5.052514,-7.24231,1.172262,-1.98844,-6.068209
-1.976264,-3.335721,-5.713613,1.020675,-1.543437,-6.899673
-0.895431,-1.359907,-6.119729,1.014355,-1.444092,-7.724532
0.178218,0.803105,-6.06152,1.095592,-1.686065,-8.609404
1.746271,3.284096,-5.903054,1.070411,-2.163589,-9.231221
2.887258,5.783493,-6.398504,1.180675,-2.568784,-9.633399
4.380192,7.863755,-6.686856,1.362685,-2.831838,-9.759882
9.515006,7.132925,-8.225878,2.029064,-2.712577,-8.998049
13.549984,8.281394,-9.064747,2.477942,-2.421406,-7.658721
18.703054,6.454917,-8.102128,2.209347,-1.934763,-5.829871
21.86789,5.46297,-6.919093,1.688753,-1.261636,-3.811865
21.275475,5.630414,-6.328474,1.072927,-0.714004,-1.850534
18.811093,5.756708,-5.616947,0.248803,-0.282498,-0.28353
15.927576,5.369446,-5.78484,-0.361485,0.358183,0.617104
14.272584,4.814291,-5.976376,-0.718932,0.970094,1.211855
13.249063,4.125209,-6.162525,-0.85466,1.243225,1.829855
12.257115,3.25806,-6.348675,-0.761481,1.164557,2.397038
11.276391,2.326416,-6.078279,-0.55053,1.043632,2.851424
10.528053,1.412729,-5.631761,-0.4423,0.952026,3.209839
10.297611,0.667833,-5.12419,-0.526077,1.028492,3.586051
9.565135,0.279074,-4.749198,-0.75172,1.18236,3.993576
9.101109,-0.144101,-4.687996,-1.046229,1.250971,4.328825
8.693346,-0.495899,-5.001936,-1.233261,1.303516,4.648374
8.254908,-0.767042,-5.258265,-1.327244,1.422395,4.931608
7.983914,-1.194407,-5.485715,-1.340197,1.581822,5.238323
7.422773,-1.366042,-5.507412,-1.310907,1.738245,5.538411
6.798635,-1.642572,-5.239261,-1.371534,1.871315,5.811796
5.779453,-1.708861,-5.14469,-1.526866,1.870852,6.056321
4.576816,-1.93676,-5.610063,-1.595074,1.710204,6.185684
2.933196,-2.416198,-6.089951,-1.474031,1.747036,6.078602
1.56925,-3.200599,-6.450578,-1.366665,1.963066,5.746989
0.220566,-3.924994,-6.972215,-1.236673,2.201631,5.282404
-0.77228,-4.59552,-7.546224,-1.120106,1.851589,4.844541
-2.411859,-5.744887,-7.83278,-0.778177,1.474122,4.049028
-3.156605,-6.996755,-8.035689,-0.461987,0.834281,3.146965
-3.491494,-7.996484,-7.343765,-0.285156,0.140026,2.301282
-3.159149,-8.550442,-6.530933,-0.249068,-0.228058,1.610467
-2.746299,-8.497321,-6.123769,-0.250577,-0.229437,1.252343
-2.653524,-8.306234,-5.917718,-0.220723,0.039641,1.109461
-2.702904,-8.294712,-5.963208,-0.175602,0.276359,1.025276
-2.752733,-8.347384,-6.162525,-0.069072,0.315203,0.889451
-3.830423,-8.254309,-6.435913,0.164978,0.387391,0.492522
-4.596119,-8.944588,-6.02426,0.218557,0.094793,0.04104
-5.3886,-8.992322,-5.585672,0.221728,-0.367139,-0.502271
-4.207211,-8.88159,-5.622633,0.274904,-0.851027,-0.763155
-0.936881,-8.057686,-5.700295,0.349644,-0.983931,-0.423119
-0.792331,-8.443152,-5.08723,0.335556,-1.116862,-0.230157
-0.657508,-8.573487,-4.778228,0.315768,-0.96546,-0.163531
-0.653617,-8.426093,-4.491971,0.258453,-0.605227,-0.149524
-0.935085,-8.371027,-4.175188,0.144273,-0.285298,-0.179915
-0.851737,-8.409484,-4.247763,0.039133,-0.146091,-0.144122
-0.787243,-8.508095,-4.572776,0.01959,-0.121765,-0.088913
-0.833481,-8.646061,-4.780024,0.05091,-0.09129,-0.042446
-0.923563,-8.641123,-4.657171,0.040909,0.061708,-0.02913
-0.902464,-8.712051,-4.615722,-0.020084,0.19485,-0.03914
-0.728585,-8.741978,-4.751592,-0.054771,0.251068,-0.055635
-0.378433,-8.750209,-4.946271,-0.036173,0.164678,-0.034843
-0.226851,-8.744073,-5.034707,0.024525,0.016162,0.014726
-0.383222,-8.750059,-4.993108,0.086567,-0.054561,0.038395
-0.5369,-8.694693,-4.696526,0.074993,-0.03686,0.042155
-0.609474,-8.631396,-4.526837,0.018093,0.022842,0.013903
-0.555604,-8.565256,-4.538209,-0.040915,0.068746,-0.013744
-0.417639,-8.572439,-4.74456,-0.051086,0.038966,-0.026468
-0.451008,-8.599823,-4.885368,-0.020767,0.008785,-0.038861
-0.58209,-8.6299,-4.865167,-0.006131,-0.006657,-0.046784
-0.625336,-8.619126,-4.834192,-0.007066,-0.015115,-0.047896
-0.691475,-8.607454,-4.853795,-0.016115,-0.012286,-0.040486
-0.686238,-8.61329,-4.970662,0.065592,-0.022393,-0.036955
-0.519093,-8.624513,-4.931158,0.085354,-0.070476,0.006141
-0.683545,-8.631696,-4.583699,-0.00165,0.107028,0.024196
-0.698209,-8.678382,-4.667945,-0.085864,0.240542,0.035357
-0.738611,-8.668207,-4.784662,-0.111481,0.32194,0.008364
