 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
0.975936,-7.291092,-6.430227,-0.187395,0.132604,-0.045809
1.239299,-7.227496,-6.359897,-0.222685,0.185761,-0.059081
1.415272,-7.207445,-6.382792,-0.227807,0.19984,-0.081041
1.442656,-7.166893,-6.471677,-0.288375,0.264711,-0.194912
0.888548,-6.500706,-5.984606,-0.402415,0.086669,-0.320351
1.245434,-6.976554,-6.307524,-0.521396,-0.008973,-0.415997
1.715894,-7.028179,-6.436961,-0.580229,-0.016558,-0.419333
2.123058,-6.855796,-6.474969,-0.633028,0.039305,-0.446709
2.11393,-6.573131,-6.722619,-0.607176,0.046203,-0.579782
2.051831,-6.475567,-7.346009,-0.508809,-0.080627,-0.719896
1.744176,-6.768258,-7.50253,-0.353791,-0.122733,-0.885887
2.413954,-6.448333,-7.558195,-0.211075,0.04765,-1.052162
3.464859,-6.023662,-7.601441,-0.117948,0.294465,-1.144218
4.291906,-6.611438,-8.201338,0.008186,0.300735,-1.124476
5.260809,-7.243059,-8.673744,0.194025,-0.144029,-0.903559
5.661239,-7.434445,-8.746019,0.286535,-0.45181,-0.698041
6.194398,-7.161805,-9.034819,0.44744,-0.713276,-0.490059
6.838438,-7.110031,-8.699332,0.598973,-0.86554,-0.066161
7.231686,-7.029975,-8.656535,0.670735,-1.045684,0.454845
7.018153,-6.966678,-7.906851,0.669115,-0.843744,0.940579
6.442198,-6.862829,-7.629573,0.691515,-0.49806,1.295782
6.068703,-6.779332,-7.419481,0.730332,-0.112646,1.550199
6.376507,-6.954258,-7.506271,0.77015,0.162029,1.936134
6.28029,-7.071424,-7.456442,0.7731,0.312738,2.47711
5.711368,-6.833949,-7.654712,0.813654,0.45263,3.021177
5.11581,-6.396409,-7.842806,0.89533,0.569591,3.49225
5.072565,-6.129156,-8.329727,1.018126,0.384262,3.996243
4.776432,-5.587618,-8.070704,1.194121,0.377414,4.594011
4.798429,-4.911705,-8.107665,1.434964,0.532532,5.314674
4.770148,-3.755605,-7.863755,1.773692,0.887373,6.189436
4.309264,-2.061857,-7.398682,2.102607,1.360898,7.139605
3.00607,0.186748,-7.107337,2.315329,1.885469,7.961521
0.700304,2.661604,-7.113921,2.445786,2.230023,8.272443
-0.9704,4.152294,-6.649297,2.421821,2.367297,8.148224
-3.001581,4.780173,-6.767959,2.193666,2.09105,7.821772
-4.404433,5.011064,-7.102399,2.050283,1.64596,7.394271
-5.54123,5.326799,-6.976105,2.067811,1.242472,7.103376
-8.304438,5.875371,-6.877644,2.009401,0.991232,6.632967
-10.912771,6.549488,-7.108684,1.921206,0.838244,5.804172
-12.222998,6.649446,-6.675782,1.681398,0.805824,5.058068
-13.876344,7.230788,-6.809558,1.124017,0.511923,4.445825
-16.407913,8.173954,-7.225551,0.633192,0.17048,3.565892
-17.886482,8.466645,-7.631817,0.461163,-0.008911,2.411479
-17.964593,8.231864,-7.660398,0.569592,-0.205521,0.680195
-16.951397,7.815273,-6.900987,0.665401,-0.193331,-0.389724
-15.055638,6.719776,-6.165668,0.680198,-0.242554,-0.870078
-12.840852,5.189582,-5.28131,0.644329,-0.426728,-1.601387
-11.370513,3.609558,-4.215142,0.369212,-0.480249,-2.235611
-10.705972,2.553117,-3.683928,0.111285,-0.484242,-2.61621
-10.307188,1.645565,-3.54686,-0.2166,-0.6477,-2.979509
-10.145579,0.986411,-3.516035,-0.527149,-0.723073,-3.338501
-9.971401,0.39654,-3.586813,-0.714324,-0.624038,-3.664162
-9.601946,0.019453,-3.87292,-0.846176,-0.48861,-3.957048
-9.336788,-0.200963,-4.409521,-0.866045,-0.260941,-4.270388
-8.72088,-0.21877,-4.960187,-0.829792,-0.128117,-4.583033
-7.669226,-0.405817,-5.486014,-0.721608,-0.051829,-4.841631
-6.211457,-0.585682,-5.811625,-0.522542,0.009603,-4.993695
-4.083461,-1.006014,-6.076633,-0.436855,-0.386527,-4.89468
-1.954866,-2.007987,-6.173,-0.633604,-0.963211,-4.506993
-1.619528,-3.629759,-5.689072,-0.874579,-1.003209,-4.162896
-1.615936,-4.50065,-6.17704,-0.86515,-1.116392,-3.868709
-1.864933,-5.12,-6.293907,-0.843807,-1.065109,-3.649263
-2.215983,-5.585822,-5.845743,-0.899103,-0.86316,-3.588163
-2.064101,-5.969044,-5.487361,-1.017822,-0.616947,-3.647312
-1.646313,-6.613533,-6.281487,-0.96848,-0.764407,-3.603802
-0.790386,-6.859986,-6.642563,-0.832591,-0.928169,-3.393491
-0.07003,-6.959346,-6.214001,-0.886894,-1.114989,-3.181073
0.560542,-7.047183,-6.010494,-1.112741,-1.51541,-3.004824
1.105822,-7.522282,-5.948993,-1.323271,-1.672755,-2.714411
1.340154,-7.593659,-6.541857,-1.252063,-1.721147,-2.381603
1.256208,-7.695263,-7.030723,-1.012026,-1.583478,-2.146629
1.392528,-7.942016,-7.310096,-0.729763,-1.485738,-1.963118
1.574487,-7.728034,-7.252186,-0.38726,-1.208858,-1.79536
1.458069,-7.863905,-6.80896,-0.018947,-0.538878,-1.639194
1.780987,-8.226627,-6.642413,0.197802,-0.200419,-1.44509
2.43221,-8.514829,-6.520459,0.213854,-0.357708,-1.215935
2.587085,-8.663269,-6.206369,0.112895,-0.566584,-0.974382
2.444779,-8.660276,-5.510854,-0.010961,-0.479864,-0.782832
2.165705,-8.595184,-5.376928,-0.019706,-0.26939,-0.631196
1.876904,-8.495376,-5.478083,0.017841,-0.112106,-0.5419
1.662773,-8.467543,-5.690269,0.074261,-0.123176,-0.439621
1.467496,-8.365341,-5.599289,0.077171,-0.11533,-0.355085
1.235857,-8.210615,-5.476138,0.075545,-0.050409,-0.301264
0.929399,-8.099584,-5.480777,0.098748,0.059951,-0.337502
1.064971,-8.116493,-5.544372,0.092783,0.089058,-0.377132
1.40794,-8.329128,-5.54946,0.024094,-0.041106,-0.336245
1.451934,-8.420258,-5.451747,-0.07411,-0.07771,-0.230386
1.291821,-8.328979,-5.571457,-0.099328,0.027601,-0.132407
1.127519,-8.219594,-5.831377,-0.063149,0.145488,-0.057723
0.949301,-8.041375,-6.001515,-0.030268,0.148157,-0.019594
0.736816,-7.948301,-5.946898,-0.025266,0.086657,-0.039882
0.672172,-7.920917,-5.870882,-0.063739,0.095887,-0.05836
0.714071,-7.856124,-6.044012,-0.087365,0.113808,-0.082328
0.859818,-7.917176,-6.307075,-0.073565,0.03085,-0.075214
0.903961,-8.003367,-6.287922,-0.045534,-0.058412,-0.033251
0.832284,-7.959523,-6.137985,-0.015709,-0.041363,0.006235
0.648529,-7.85358,-6.021866,0.014104,0.077469,0.029228
0.558896,-7.868244,-6.044611,0.052064,0.110043,0.024636
0.570119,-7.800758,-6.051494,-0.024347,0.052376,-0.014337
0.683993,-7.868244,-6.073341,-0.067905,-0.038708,-0.02109
