 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
3.576638,-7.123049,-6.196942,-0.29773,-0.469779,-0.057962
2.506879,-7.611317,-6.067356,-0.265198,-0.470344,-0.123864
3.017293,-7.217171,-6.001815,-0.293127,-0.403311,-0.196288
3.104531,-7.215525,-6.077232,-0.30581,-0.420706,-0.220295
3.168876,-7.196521,-5.902156,-0.41554,-0.470055,-0.253076
3.292925,-7.057807,-6.079776,-0.621352,-0.614533,-0.326306
3.390788,-7.034015,-6.557269,-0.803948,-0.92993,-0.449923
3.548805,-6.900388,-6.593033,-0.991202,-1.179125,-0.577611
3.53444,-6.61069,-6.818986,-1.125925,-1.268412,-0.754507
3.599682,-6.311116,-7.173327,-1.253065,-1.245467,-0.904542
3.62138,-5.969044,-7.830386,-1.329534,-1.082667,-1.050626
3.512892,-5.712715,-8.229619,-1.349195,-0.80743,-1.301811
4.250755,-5.361665,-7.567623,-1.169158,-0.177263,-1.235241
6.520608,-7.098209,-8.097789,-1.003216,0.356019,-0.589963
6.099827,-6.14831,-9.42283,-0.754839,0.023958,-0.146383
6.422296,-5.48362,-10.430489,-0.43823,-0.597919,0.163723
6.363489,-5.530157,-10.113856,-0.072725,-0.852293,0.489507
6.931363,-5.291186,-10.003423,0.211337,-0.646451,0.899215
7.558046,-5.426608,-10.579379,0.532203,-0.471749,1.38454
8.225878,-5.39264,-11.158177,0.88816,-0.348972,1.991348
8.671649,-5.494094,-11.668441,1.265991,-0.441984,2.738852
8.447043,-4.895394,-11.522993,1.678805,-0.565336,3.443044
7.879767,-4.328717,-11.423784,2.127524,-0.672272,4.087679
8.13864,-3.979462,-11.019164,2.615093,-0.693981,4.88952
8.13445,-3.41488,-10.674398,3.229971,-0.50383,5.982837
7.034913,-1.691055,-9.883863,3.994982,-0.075724,7.023674
6.390274,0.208744,-8.954613,4.54058,0.301428,7.927764
3.607314,3.231424,-8.745719,5.095642,0.69821,8.467439
0.79712,6.420351,-6.237344,5.483806,1.493658,8.413748
-3.033304,4.646248,-4.814291,5.098754,1.377558,7.953465
-4.166958,4.409072,-3.245041,4.28743,0.864231,7.875873
-9.888951,5.580585,-1.141136,3.479778,0.395589,7.229719
-15.972019,6.529287,1.823035,2.354958,0.370385,5.748161
-18.615068,6.273407,2.782661,1.312358,0.706745,4.073933
-19.719992,7.23438,1.869423,0.106161,0.184267,2.514931
-19.532645,7.241113,1.305887,-0.591547,0.025191,1.240754
-19.769522,7.221361,-0.389806,-0.781334,0.081923,0.002651
-18.438495,6.442647,-1.346888,-0.723101,0.082852,-1.141072
-15.588198,5.134515,-1.137545,-0.673367,0.213996,-1.919517
-13.294254,3.510947,-1.626261,-0.794246,0.063663,-2.396183
-11.1278,1.448941,-1.661127,-1.232322,0.008926,-2.915012
-10.720786,0.585233,-2.723105,-1.564506,-0.373902,-3.2392
-10.36824,-0.146346,-2.925864,-1.875012,-0.624689,-3.610831
-9.37704,-0.893187,-3.068319,-1.950405,-0.270573,-3.836507
-7.658303,-1.318457,-3.969586,-1.950636,0.068872,-3.917066
-7.100155,-2.117073,-4.723311,-1.782142,0.4353,-3.928313
-7.017555,-2.1886,-4.578462,-1.57171,1.059588,-4.137249
-4.717924,-2.492065,-4.858883,-1.243427,1.899409,-4.291172
-2.771588,-3.478326,-6.399701,-0.847625,2.065858,-4.311532
-1.329231,-4.616769,-7.126491,-0.395342,1.788771,-4.262243
0.282217,-5.63206,-6.49113,-0.176442,1.32348,-4.121453
1.293168,-6.781576,-5.97488,-0.250054,0.839563,-3.851002
1.539921,-6.926575,-5.654206,-0.311114,0.645661,-3.683594
2.239925,-7.152378,-5.368548,-0.29175,0.635344,-3.578622
3.209128,-7.534553,-5.247791,-0.28218,0.719872,-3.412967
4.188955,-8.557176,-5.521029,-0.31262,0.498664,-3.082918
4.575469,-9.363723,-5.284302,-0.460341,0.30155,-2.56636
4.444087,-9.113379,-5.001188,-0.621726,0.373936,-2.098333
4.603751,-8.83221,-5.352537,-0.660437,0.646111,-1.781855
4.88896,-9.000552,-7.039851,-0.326616,0.35174,-1.473346
5.422867,-9.148693,-6.917746,0.094982,0.0132,-1.032647
5.035156,-9.506028,-6.006603,0.352676,0.020108,-0.571351
4.693683,-9.491064,-5.019294,0.388635,0.137546,-0.131722
4.283227,-9.374197,-4.576666,0.246015,0.345178,0.190013
