 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
8.451831,-6.089502,-4.713435,0.05693,-0.064498,0.357457
8.316559,-6.095039,-4.2738,0.001579,-0.055374,0.385886
8.573636,-6.615778,-4.00505,-0.194875,-0.18495,0.542002
8.611195,-6.592434,-4.325873,-0.338474,-0.33919,0.72382
8.78687,-6.535722,-4.865916,-0.275153,-0.429062,0.912829
8.938004,-6.47452,-4.792294,-0.151607,-0.343527,1.096205
9.181015,-6.509984,-4.616021,-0.101847,-0.267711,1.298481
9.62514,-6.723367,-4.918738,-0.055468,-0.291239,1.529859
9.969156,-6.814197,-4.874595,-0.051092,-0.343526,1.810843
10.062081,-6.793098,-4.948366,-0.044302,-0.40136,2.073935
10.419715,-6.520309,-5.264999,0.069801,-0.44302,2.394057
11.34283,-6.208913,-5.498434,0.288558,-0.405908,2.877412
11.682357,-6.315305,-5.613056,0.642554,-0.09482,3.516278
12.373384,-6.133795,-4.799028,0.73559,0.42974,3.872416
12.354529,-5.708226,-5.173571,0.599207,0.0509,4.079246
9.907805,-5.862203,-6.482151,0.728897,-0.754324,3.994827
10.52117,-5.004929,-4.907066,0.88942,-0.687316,4.254488
12.027571,-4.711789,-4.853645,1.086421,0.084107,5.179618
11.215189,-3.065027,-5.652112,1.423691,1.380372,6.472997
9.035717,-2.94816,-8.704719,2.191266,2.253249,7.038195
8.921843,-1.279551,-10.267534,2.476508,1.786592,7.831459
2.997241,1.02382,-8.550592,1.803109,0.15919,7.804401
-0.850091,2.300229,-6.29675,0.900198,-0.509982,7.507222
-4.156334,3.869778,-7.377583,0.907214,-0.179021,7.315815
-9.526828,7.098209,-7.538742,1.42959,0.79217,6.539717
-12.782044,8.41113,-8.252963,2.121218,1.39363,5.433239
-14.430302,7.909544,-7.633014,2.461908,1.369293,4.444833
-14.894628,6.916998,-5.941211,2.426355,1.224009,3.679108
-15.534628,5.395184,-4.635025,2.370827,1.286137,3.028622
-15.278448,4.156484,-3.667318,2.353636,1.52799,2.383781
-13.941736,3.300557,-3.255665,2.054473,1.248381,1.860924
-12.884696,2.128595,-2.744054,1.623979,0.700914,1.543002
-12.777256,1.290624,-1.627309,1.1733,0.505698,1.307199
-12.418574,0.732326,-1.374272,0.842653,0.557745,1.069936
-11.922226,0.506673,-1.507,0.534609,0.397868,0.879442
-12.517934,0.535254,-1.603816,0.218299,0.126656,0.494884
-12.049119,0.262614,-1.550096,-0.002153,0.121561,0.12615
-10.788572,-0.490063,-1.852813,-0.083561,0.257807,0.006195
-10.573393,-0.863708,-2.485032,-0.119977,0.252977,-0.159444
-10.300604,-1.405546,-2.889352,-0.068149,0.296718,-0.368464
-9.075371,-2.269404,-2.921824,-0.01285,0.470567,-0.393679
-8.407838,-3.022829,-2.813486,0.000238,0.699573,-0.286079
-8.189217,-3.333926,-2.429965,-0.214068,0.97884,-0.132369
-8.074744,-3.08433,-3.2618,-0.413241,0.702191,-0.059116
-7.319074,-2.288258,-1.8787,-0.968366,0.661629,0.035017
-10.395025,-4.197335,-4.278438,-0.84854,0.500789,-0.441233
-9.775226,-2.348712,-4.802619,-0.629932,0.357206,-0.902218
-8.183232,-2.732532,-5.273977,-0.379528,-0.199227,-0.863709
-6.342988,-2.202366,-4.139575,-0.407213,-0.329712,-0.488165
-7.73776,-4.289212,-4.006846,-0.314963,0.313231,-0.227375
-8.230517,-4.194791,-4.580856,-0.196395,0.640293,-0.137563
-8.033744,-2.574365,-7.455694,0.226393,-0.2574,-0.081963
-8.591593,-3.008614,-4.486884,0.203697,-0.266131,-0.153998
-8.881291,-3.5717,-4.113538,0.293319,0.266996,-0.146601
-7.944709,-3.313126,-4.47596,0.286719,0.149917,-0.08219
-7.815722,-3.392584,-4.218284,0.23707,-0.016101,-0.043505
-8.173505,-3.34455,-3.88534,0.093296,-0.108193,-0.107317
-7.935731,-3.635894,-3.739593,-0.07056,-0.141481,-0.112166
-7.75048,-3.805284,-3.948787,-0.147603,-0.155967,-0.00924
-8.149563,-3.51394,-4.185663,-0.121248,-0.132784,0.003801
-8.104672,-3.545214,-4.153192,-0.038379,-0.024236,0.044253
-8.050204,-3.511695,-4.061913,-0.000793,0.061215,0.102238
-8.17545,-3.322404,-4.226813,0.004801,0.042058,0.095608
-8.333019,-3.208679,-4.149301,-0.041888,-0.019518,0.087363
-8.571541,-3.169624,-4.117279,-0.078931,0.005534,0.051439
-8.458266,-3.160795,-4.322731,-0.058017,0.02725,0.031497
-8.326884,-3.078195,-4.344429,-0.024661,0.061616,0.049536
-8.372822,-3.042282,-4.325873,-0.036592,0.068302,0.058999
-8.475923,-3.001431,-4.449474,-0.042051,0.022512,0.045807
-8.531738,-2.98108,-4.424934,-0.022734,0.057316,0.041905
-8.451532,-2.994398,-4.544943,0.006055,0.047083,0.031171
-8.368483,-2.978537,-4.572776,0.028887,-0.02113,0.015328
-8.524405,-2.96477,-4.37705,0.035802,-0.049618,-0.014126
-8.518121,-3.006668,-4.15798,0.025509,-0.006564,-0.042003
-8.210765,-3.237559,-4.238934,0.021605,-0.016957,-0.016948
-8.152855,-3.285443,-4.256891,0.033655,-0.05143,0.040788
-8.330924,-3.214964,-4.060566,0.018482,-0.022834,0.05957
-8.201637,-3.251775,-4.044854,-0.020464,-0.00918,0.074979
-8.044966,-3.43538,-4.210204,-0.052992,-0.043798,0.094789
-8.260894,-3.256414,-4.296844,-0.055238,-0.075348,0.078765
-8.538771,-3.100042,-4.390068,-0.029265,-0.120241,0.038925
-8.645911,-2.979285,-4.124162,0.02018,-0.013341,0.001457
-8.531438,-3.028665,-3.893421,0.01816,0.119385,-0.005171
-8.257602,-3.112163,-4.176236,-0.02558,0.040734,-0.01561
-8.013992,-3.173814,-4.297442,-0.074716,-0.073265,-0.003305
-8.273613,-3.073407,-4.227262,-0.067553,-0.041696,0.010594
