 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
8.33272,-5.122394,-3.789423,-0.160285,0.392002,0.310214
8.801684,-5.144541,-4.266617,0.024725,0.164041,0.295027
8.885032,-5.280112,-3.328539,-0.001425,0.119796,0.352469
8.730157,-5.309292,-2.845209,-0.116502,0.201696,0.324806
9.448717,-5.946149,-3.088221,-0.150018,0.251759,0.458247
9.721656,-6.04506,-3.690811,-0.005799,0.203916,0.583807
9.583091,-5.992986,-3.62123,0.13942,0.18918,0.620323
9.139266,-6.156241,-3.101688,0.063599,0.136378,0.577577
9.233987,-6.403292,-2.744503,-0.07664,0.076946,0.513304
9.667637,-6.291663,-3.15032,-0.041864,-0.075188,0.524687
10.873865,-6.64391,-2.803909,-0.024214,-0.139004,0.699521
11.938238,-6.697929,-2.542792,-0.044211,-0.346201,1.053095
12.575395,-6.699575,-2.36173,-0.037698,-0.400087,1.531269
13.429376,-5.95827,-2.852392,0.034991,-0.531163,2.046841
13.362788,-6.165817,-3.13386,0.211506,-0.15289,2.686858
14.015208,-5.630115,-4.274847,0.442716,0.019125,3.181252
14.420576,-5.593304,-4.515165,0.439983,-0.140822,3.699367
15.922937,-5.573402,-4.051139,0.43582,0.225909,4.505741
15.573384,-2.689287,-4.39351,0.339405,0.878875,5.420496
14.037204,-2.215235,-6.279542,0.38177,1.277096,6.123699
12.893075,-1.116596,-7.546973,0.52363,1.312654,6.928155
9.999084,0.866252,-8.296657,0.759504,1.313648,7.34797
7.738958,2.079813,-7.095516,0.839178,1.104941,8.119919
3.12578,4.575469,-6.593182,0.813245,0.896967,7.834249
-0.486921,5.130625,-5.917868,0.933595,1.143401,7.376872
-4.840028,5.068076,-5.643882,1.180349,1.208099,6.592071
-9.114875,4.060117,-4.386028,1.386206,1.52823,5.439413
-10.180145,2.275988,-4.192696,1.718762,2.006064,4.629749
-11.613674,1.246332,-3.53055,1.912439,2.755129,4.134913
-13.873501,1.241543,-3.777452,1.889102,3.339849,3.368726
-12.85821,0.177021,-4.640861,1.693769,3.508736,2.971333
-10.959757,-0.976834,-5.569661,1.242363,3.173578,3.103158
-11.054029,0.050129,-6.235997,0.46557,2.150901,3.120285
-10.579229,0.176572,-6.629544,-0.169509,1.190152,3.195403
-9.177723,1.005565,-6.009745,-0.522371,0.969847,3.640588
-12.622082,2.657265,-7.097162,-0.547247,0.553811,3.166832
-14.035409,3.350835,-7.388207,-0.278039,0.102215,2.289976
-13.888764,3.363404,-6.654833,0.296275,0.149397,1.347424
-12.807034,2.26267,-5.525817,0.790721,0.724702,0.882457
-11.692383,1.444452,-5.271134,0.889163,0.691166,0.43041
-10.106524,0.25603,-3.981258,0.453022,0.351534,0.3553
-10.848726,-0.114473,-4.022857,0.020176,-0.013896,0.1128
-11.44997,-0.885705,-4.216488,-0.153001,0.200238,-0.211655
-9.806201,-1.095198,-5.073613,-0.199369,0.049482,-0.25118
-9.31958,-1.429787,-4.923526,-0.263729,-0.057287,-0.295455
-8.95596,-1.937358,-5.219958,-0.109947,0.120809,-0.3392
-7.913734,-2.443133,-5.715109,0.199632,0.212532,-0.248887
-7.752874,-2.84072,-5.137358,0.201496,0.059517,-0.195949
-8.114997,-2.873192,-4.678869,0.114039,-0.010197,-0.240831
-7.974637,-3.177255,-4.32303,-0.002281,0.075905,-0.219168
-7.541586,-3.37747,-4.641908,-0.022633,0.128144,-0.079951
-7.889493,-3.080589,-4.787505,0.054034,0.154073,-0.021042
-8.807819,-2.50239,-4.518158,0.119292,0.148152,-0.181016
-9.444826,-2.30412,-4.219032,0.180535,0.184419,-0.424387
-8.978705,-2.385523,-3.227533,0.120058,0.439158,-0.510732
-7.496545,-2.481141,-3.560328,-0.066457,0.349299,-0.379521
-6.853402,-2.760365,-4.02166,-0.220835,0.191872,-0.143108
-7.485771,-2.747197,-4.225467,-0.326457,0.177425,-0.033003
-8.224232,-2.601899,-4.820575,-0.3233,0.204511,-0.0889
-8.154651,-2.79523,-5.191078,-0.231148,0.298855,-0.111233
-7.670573,-3.010858,-5.448604,-0.11362,0.372673,-0.029418
-7.620594,-3.003077,-5.597643,-0.07294,0.29143,0.01708
-7.820061,-3.025672,-5.401768,-0.119092,0.273972,0.017551
-7.773225,-2.953697,-5.477784,-0.213461,0.215935,0.021436
-7.7421,-2.835184,-5.915174,-0.251591,0.032532,0.030692
-7.845948,-2.748394,-5.964854,-0.149292,0.047436,0.048593
-7.85777,-2.665046,-5.931335,-0.014922,0.113495,0.074897
-7.957877,-2.507627,-5.596446,0.022217,0.125771,0.059239
-8.040777,-2.458097,-5.47524,-0.041938,0.015491,0.034731
-8.194903,-2.359635,-5.293879,-0.101733,-0.01944,0.001865
-8.218845,-2.332252,-5.341913,-0.094407,0.030794,-0.030698
-7.928997,-2.436848,-5.446809,-0.042108,0.076512,-0.010913
-7.836222,-2.448071,-5.43394,-0.014505,0.057537,-0.00503
-8.069507,-2.377742,-5.385607,-0.041522,0.005647,-0.059535
-7.942764,-2.512864,-5.228188,-0.073286,0.037734,-0.054344
-7.858219,-2.538901,-5.336975,-0.075026,0.042094,-0.037603
-7.921366,-2.520645,-5.435736,-0.06148,0.00404,-0.043835
-7.990498,-2.518551,-5.461024,-0.029335,0.011435,-0.07887
-7.785944,-2.683451,-5.372439,-0.010763,0.05911,-0.049505
-7.600244,-2.706645,-5.382315,-0.029941,0.044606,0.002374
-7.778163,-2.595764,-5.369147,-0.062406,0.002963,0.00924
-7.971644,-2.531868,-5.463568,-0.049955,-0.000191,-0.011734
-7.987805,-2.488324,-5.4709,0.02193,0.093828,-0.010761
-7.729979,-2.554763,-5.584924,0.052343,0.123033,0.010582
-7.38297,-2.693776,-5.67336,0.026497,0.013191,0.073292
-7.644686,-2.659359,-5.485266,-0.022177,-0.028518,0.08907
-8.00621,-2.508076,-5.523723,-0.052698,-0.046066,0.034846
-7.893234,-2.529624,-5.591808,-0.051006,-0.055611,0.023406
