SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835144.531587, -7.133374, -5.761048, -3.409194, 0.041214, 0.345119, -0.263104, , , 
1647835144.551648, -7.178864, -5.614702, -3.331532, -0.031453, 0.492424, -0.275619, , , 
1647835144.571575, -6.991368, -5.846341, -3.699640, -0.088087, 0.417149, -0.305272, , , 
1647835144.591617, -6.597522, -5.867889, -3.808127, -0.129589, 0.353027, -0.212744, , , 
1647835144.611629, -6.459257, -5.887043, -4.053982, -0.134393, 0.349723, -0.086812, , , 
1647835144.631568, -6.869713, -5.699247, -4.267365, -0.085853, 0.308387, -0.079214, , , 
1647835144.651520, -7.085640, -5.674258, -4.601656, -0.030396, 0.158706, -0.140585, , , 
1647835144.671585, -6.918046, -5.569512, -4.537611, 0.004454, 0.257944, -0.127132, , , 
1647835144.691563, -6.978200, -5.668123, -4.506935, 0.028225, 0.406644, -0.102189, , , 
1647835144.711522, -7.048979, -5.612607, -4.506187, 0.051767, 0.416091, -0.151564, , , 
1647835144.731507, -6.993912, -5.664531, -4.571578, 0.109439, 0.359349, -0.223612, , , 
1647835144.751583, -6.367379, -5.850082, -4.784513, 0.165453, 0.100207, -0.220256, , , 
1647835144.771569, -6.232406, -5.935824, -4.572626, 0.094474, 0.012122, -0.109626, , , 
1647835144.791571, -6.551134, -5.957522, -4.171298, -0.077957, 0.117549, -0.050038, , , 
1647835144.811571, -6.649596, -6.021118, -4.381389, -0.186289, 0.316603, -0.036695, , , 
1647835144.831512, -6.516119, -5.991789, -4.821473, -0.167721, 0.289830, -0.059697, , , 
1647835144.851491, -6.206070, -6.016180, -4.844218, -0.109149, 0.111227, -0.048131, , , 
1647835144.870953, -6.109853, -5.938518, -4.721216, -0.104717, 0.018192, 0.002916, , , 
