 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
2.402132,-6.059126,-7.631368,-0.280386,0.065107,-0.179417
2.058714,-5.691017,-7.50672,-0.38685,0.087255,-0.139022
2.211195,-6.004358,-7.596952,-0.321013,-0.027497,-0.069769
2.204461,-6.003311,-7.572561,-0.191251,-0.011494,-0.04158
2.429217,-5.764639,-7.365612,-0.11712,0.156632,-0.092391
2.898331,-5.783493,-7.350648,-0.061886,0.350417,-0.297576
4.26108,-5.882703,-8.747964,-0.26887,-0.268633,-0.559978
4.919785,-5.887641,-8.368333,-0.398609,-0.878949,-0.942393
5.342062,-5.739201,-8.385542,-0.60979,-1.519941,-1.448292
6.596325,-6.283433,-8.477419,-1.108776,-2.290668,-1.682603
8.610896,-7.236923,-8.78687,-1.385319,-2.604566,-0.867117
8.549694,-6.779032,-10.260052,-0.738873,-2.24822,0.034473
8.772355,-6.040571,-10.237008,0.039985,-1.381165,0.997142
9.017312,-5.643732,-10.265888,0.561883,-0.684502,2.008395
8.974366,-4.990713,-10.201394,0.78057,-0.446492,2.909699
8.794801,-4.139874,-10.675446,0.879021,-0.524949,3.699848
8.182184,-3.316119,-11.075128,1.175884,-0.689237,4.4923
7.065738,-2.282123,-10.889278,1.639941,-0.484333,5.314744
6.852654,-0.976236,-10.257957,2.070494,-0.561194,6.131355
6.597223,0.480935,-9.100809,2.248105,-0.685312,7.039263
4.788254,2.776226,-8.311172,2.375636,-0.507381,8.011448
2.078616,5.634305,-7.642292,2.525362,-0.16608,8.405515
-1.248127,7.182306,-7.972392,2.678824,-0.119504,8.167441
-2.709638,7.542932,-7.920618,2.857535,-0.606853,7.687902
-4.925771,6.820183,-6.065411,3.039754,-0.489479,7.386965
-6.02456,7.119009,-3.65849,3.07085,0.876959,7.120412
-5.514595,7.219715,-3.519177,2.593868,1.893957,7.094895
-6.957251,8.304588,-4.971111,1.858852,1.51644,7.131687
-10.66123,9.998785,-4.631733,1.070973,1.138925,6.64304
-15.6286,10.666767,-6.108357,0.442511,1.396684,5.607998
-18.749442,11.007641,-8.911518,0.34101,0.979983,4.005606
-20.863373,11.278485,-9.544485,0.27159,0.193613,2.149552
-20.9759,11.046098,-9.624092,0.42974,-0.328038,0.27307
-18.486978,9.638906,-8.202535,0.589928,-0.573486,-1.290148
-14.871883,7.827693,-7.140706,0.722979,-0.804151,-2.403869
-11.75553,5.999121,-5.446809,0.723361,-0.880478,-3.10491
-9.559149,4.30672,-4.312556,0.551912,-0.853721,-3.514034
-8.510639,2.775778,-3.570503,0.20497,-0.791965,-3.741979
-8.597877,1.852663,-3.570952,-0.313428,-0.813977,-4.03483
-8.948628,1.250372,-4.070442,-0.947494,-1.037266,-4.447879
-8.579023,0.783054,-4.707898,-1.500239,-1.20791,-4.864742
-8.250569,0.413898,-5.061492,-1.953819,-0.987669,-5.349383
-6.976554,0.493355,-5.819406,-2.075044,-1.002007,-5.61337
-5.748029,0.251092,-6.835146,-2.092202,-1.156419,-5.774739
-4.32737,0.144999,-7.304859,-1.965574,-1.230619,-5.857903
