 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1.015441,-4.911256,-9.412804,0.080729,-0.74904,-0.097826
0.673668,-4.767454,-9.317485,0.170178,-0.93811,-0.171093
0.566528,-4.705654,-9.52159,0.307613,-1.295908,-0.243938
0.332195,-4.794688,-9.577106,0.468218,-1.634236,-0.343151
0.563236,-5.217265,-9.59192,0.641251,-2.029967,-0.301614
0.179266,-5.136311,-9.208399,0.757898,-2.273589,-0.290286
-0.339378,-5.294328,-8.742577,0.740728,-2.341362,-0.321253
-0.924611,-5.471948,-8.001422,0.561991,-2.198751,-0.338622
-1.192163,-5.578191,-7.86615,0.367534,-2.079094,-0.306845
-1.537975,-5.606322,-7.905504,0.236793,-2.078375,-0.260726
-1.903241,-5.501576,-7.317129,0.103423,-1.904326,-0.217487
-2.403778,-5.576545,-6.793697,0.061102,-1.434066,-0.176846
-2.778172,-5.627421,-6.688801,0.155623,-0.775966,-0.137941
-2.899528,-5.743989,-6.645107,0.29988,-0.130713,-0.080064
-2.82037,-5.920262,-6.588993,0.371126,0.30732,-0.000833
-2.612523,-5.932832,-6.985383,0.360674,0.358204,0.052015
-2.569876,-5.927594,-7.171532,0.292516,0.234306,0.063024
-2.629582,-5.994183,-7.046734,0.156444,0.090885,0.064505
-2.720561,-5.969343,-6.88722,0.008877,0.002099,0.04525
-2.727894,-5.861155,-7.125294,-0.070079,-0.083783,0.020916
-2.525135,-5.972486,-7.441927,-0.07103,-0.123835,0.021041
-2.540847,-5.87178,-7.599196,-0.030053,-0.111725,0.001106
-2.59711,-5.839907,-7.684639,0.017709,-0.06313,-0.014868
-2.598158,-5.854721,-7.725341,0.048021,0.00078,-0.016625
-2.592471,-5.876418,-7.666084,0.053758,0.04787,-0.010051
-2.548777,-5.890933,-7.623138,0.033616,0.050732,-0.000429
-2.506729,-5.906795,-7.711275,0.022587,0.008019,-0.004924
-2.499846,-5.883451,-7.801656,0.02484,-0.051738,-0.026784
-2.504036,-5.894824,-7.80809,0.046223,-0.092689,-0.036478
-2.532317,-5.891681,-7.638251,0.076875,-0.077515,-0.03984
-2.526481,-5.934627,-7.464971,0.092852,-0.005373,-0.04146
-2.421585,-6.006603,-7.426963,0.090543,0.036605,-0.032649
-2.413505,-6.023063,-7.369652,0.061593,0.033881,-0.026956
-2.472761,-6.028301,-7.337779,0.030908,0.007582,-0.028922
-2.532018,-6.015731,-7.345111,0.011765,-0.009894,-0.022758
-2.518999,-6.030695,-7.44073,-0.000887,-0.031272,-0.011947
-2.534113,-6.003461,-7.443124,0.010108,-0.028133,-0.004477
-2.576161,-6.014833,-7.39928,0.019873,0.009209,0.004962
-2.544139,-6.008698,-7.378331,0.018765,0.038418,0.012335
