SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835534.727974, -1.713799, -6.966977, -6.291962, -0.666976, 0.088567, -0.552793, , , 
1647835534.747975, -1.961001, -6.614431, -6.031144, -0.680924, 0.225930, -0.908489, , , 
1647835534.768011, -2.087744, -6.624606, -5.142147, -0.808582, 0.647014, -1.346814, , , 
1647835534.787990, -1.374870, -6.594679, -5.067178, -1.018654, 0.544498, -1.742549, , , 
1647835534.807985, -0.034566, -6.563405, -6.111349, -1.203584, -0.196883, -1.977126, , , 
1647835534.828067, 1.257405, -7.657405, -6.339547, -1.266098, -0.600466, -1.615771, , , 
1647835534.847974, 1.767819, -8.142829, -6.865373, -1.415247, -0.649590, -1.513680, , , 
1647835534.867982, 0.927903, -7.433547, -6.158186, -1.741910, -0.181698, -1.283370, , , 
1647835534.887977, 1.172860, -6.529437, -6.207417, -2.190215, 0.231655, -1.138983, , , 
1647835534.908043, 0.944064, -5.972935, -7.197569, -2.730912, 0.807006, -0.964260, , , 
1647835534.927983, 0.770484, -5.652560, -6.074688, -2.526701, 1.533982, -1.048379, , , 
1647835534.947980, 2.129493, -5.861604, -9.996091, -2.063010, 0.697519, -0.781967, , , 
1647835534.967990, 2.564340, -5.560084, -10.735750, -1.772509, -0.042558, -0.389740, , , 
1647835534.987989, 3.434183, -6.294655, -11.757176, -1.283778, -0.052711, 0.001815, , , 
1647835535.008136, -0.655413, -4.730045, -12.241553, -0.793127, 0.036602, -0.254487, , , 
1647835535.027992, -1.594838, -4.740968, -11.784410, -0.096285, 0.649662, -0.713243, , , 
1647835535.047949, -1.706018, -4.703708, -13.100772, 0.385958, 1.266373, -0.799627, , , 
1647835535.068032, -1.350330, -4.771494, -12.565219, 0.522706, 1.281467, -0.872513, , , 
1647835535.087791, -1.064073, -4.757129, -11.953650, 0.845376, 1.264926, -1.052854, , , 
1647835535.107989, -0.265607, -3.806781, -12.566566, 1.242332, 0.536986, -1.182562, , , 
1647835535.127999, 0.110732, -3.426851, -13.755137, 2.161201, -0.458751, -1.040197, , , 
1647835535.147891, 0.566528, -2.411111, -13.676129, 3.327755, -1.354564, -0.744781, , , 
1647835535.168006, -0.497695, -3.015048, -10.575189, 3.400848, -2.034920, -2.081810, , , 
1647835535.187810, -1.686117, -2.353650, -9.742455, 3.378878, -2.291493, -3.369135, , , 
1647835535.207240, 0.767791, -3.149273, -10.416423, 3.568503, -2.433443, -3.833124, , , 
1647835535.228091, 1.298705, -3.131466, -8.331373, 3.522718, -1.682681, -3.894813, , , 
1647835535.248105, 1.643021, -2.738667, -6.663811, 3.153641, -0.389252, -3.994114, , , 
1647835535.268129, 3.340510, -1.751807, -6.347178, 3.002953, 0.440275, -4.104233, , , 
1647835535.287814, 6.235100, -0.353893, -5.937171, 2.844918, 0.222402, -4.142931, , , 
1647835535.308012, 10.240150, -0.491410, -6.187365, 2.942588, -0.257450, -3.619098, , , 
1647835535.328010, 13.015329, 0.606481, -5.762993, 3.163234, -0.698229, -2.659562, , , 
1647835535.347998, 15.349526, 1.636287, -4.554220, 3.245523, -0.940731, -1.801933, , , 
1647835535.368015, 18.406473, 0.994342, -2.056170, 2.775099, -0.925583, -0.627098, , , 
1647835535.387824, 18.198476, 0.967557, -0.322768, 1.880824, -0.541099, 0.516305, , , 
1647835535.408017, 17.450438, 0.200664, 0.312892, 0.970285, -0.017586, 1.450834, , , 
1647835535.428008, 16.132729, 0.126144, 0.504728, 0.005414, 0.485210, 2.289776, , , 
1647835535.448003, 15.673192, -0.765097, -0.844854, -0.638710, 0.644617, 3.280243, , , 
1647835535.468024, 12.904298, -0.915483, -3.026271, -0.753361, 0.317263, 4.050467, , , 
1647835535.487840, 9.963321, -1.301548, -4.149600, -0.574597, 0.043530, 4.508083, , , 
1647835535.508019, 7.868095, -1.978508, -4.048146, -0.547305, 0.044549, 4.941351, , , 
1647835535.528017, 4.601805, -2.381782, -4.652233, -0.791441, 0.219934, 5.239920, , , 
1647835535.548003, 1.837250, -3.430442, -6.545598, -0.835855, 0.275540, 5.237787, , , 
1647835535.568086, -1.478270, -4.274099, -7.727585, -0.495004, 0.357393, 5.314831, , , 
