SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835731.755018, 0.816273, -7.453150, -6.147861, -0.114880, 0.118420, -0.132708, , , 
1647835731.774955, 0.788889, -7.449558, -6.208614, -0.109153, 0.187471, -0.153685, , , 
1647835731.794517, 0.990900, -7.422624, -6.490232, -0.075431, 0.161855, -0.099000, , , 
1647835731.815050, 1.036989, -7.411102, -6.772149, -0.008669, 0.086272, -0.032797, , , 
1647835731.835123, 0.833930, -7.324910, -6.627599, 0.023499, 0.075178, -0.032954, , , 
1647835731.855061, 0.873584, -7.438785, -6.446687, 0.017104, 0.107706, -0.017508, , , 
1647835731.874251, 1.029956, -7.446566, -6.528689, 0.007295, 0.093341, -0.011915, , , 
1647835731.894322, 1.132457, -7.469460, -6.598121, 0.004181, 0.066601, -0.006553, , , 
1647835731.914986, 1.132607, -7.468413, -6.559514, -0.005483, 0.049233, -0.012452, , , 
1647835731.935062, 1.167622, -7.473201, -6.539014, 0.002105, 0.027467, -0.014158, , , 
1647835731.955074, 1.126921, -7.453000, -6.501155, 0.015334, 0.018510, -0.019979, , , 
1647835731.974825, 1.062277, -7.431153, -6.411073, 0.005926, 0.006155, -0.032842, , , 
1647835731.995053, 1.029058, -7.426664, -6.387431, -0.018051, -0.013293, -0.042955, , , 
1647835732.014705, 1.075296, -7.433547, -6.491130, -0.035813, -0.055968, -0.037681, , , 
1647835732.035055, 1.068712, -7.422324, -6.595277, -0.017390, -0.079483, -0.020174, , , 
1647835732.055060, 0.978181, -7.387908, -6.530933, 0.012019, -0.059749, -0.003970, , , 
1647835732.074842, 0.944363, -7.408109, -6.321889, 0.014169, -0.010033, -0.011162, , , 
1647835732.095077, 1.042525, -7.422923, -6.251410, -0.012041, 0.011688, -0.028155, , , 
1647835732.114999, 1.135600, -7.427861, -6.446388, -0.031342, -0.039457, -0.044524, , , 
1647835732.135054, 1.228974, -7.429806, -6.508787, -0.058069, -0.072356, -0.061681, , , 
1647835732.155090, 1.279252, -7.509114, -6.864326, -0.052730, -0.156714, -0.067270, , , 
1647835732.174839, 1.639280, -7.745242, -7.078756, -0.010849, -0.210258, -0.018141, , , 
1647835732.195073, 2.750638, -8.337358, -6.835296, 0.083398, 0.181599, 0.189438, , , 
1647835732.214997, 3.566912, -8.823830, -7.472004, 0.341101, 0.707492, 0.261043, , , 
